dataset,sample_idx,image_path,mask_path,dice,miou,pa,image_shape,pred_mean_area,pred_total_area,pred_count,pred_mean_perimeter,pred_mean_eccentricity,pred_mean_form_factor,pred_mean_aspect_ratio,pred_mean_solidity,gt_mean_area,gt_total_area,gt_count,gt_mean_perimeter,gt_mean_eccentricity,gt_mean_form_factor,gt_mean_aspect_ratio,gt_mean_solidity
Muller2020_high_c1_source,0,../../data/cem_mitolab/Muller2020_high_c1_source/images/Muller2020_high_c1_source-LOC-0_164-169_0-224_448-672.tiff,../../data/cem_mitolab/Muller2020_high_c1_source/masks/Muller2020_high_c1_source-LOC-0_164-169_0-224_448-672.tiff,0.04120914066896133,0.02103805034323025,0.5492865114795918,"(224, 224)",27.217171717171716,21556.0,792,20.871085486360265,0.6558791530386012,4.76320151703793,2.448712523045941,0.8387298183935695,290.14285714285717,2031.0,7,66.4076942518446,0.7322498984482879,0.7915169859265251,1.7666238685976676,0.9458021602361049
Muller2020_high_c1_source,1,../../data/cem_mitolab/Muller2020_high_c1_source/images/Muller2020_high_c1_source-LOC-0_554-559_224-448_448-672.tiff,../../data/cem_mitolab/Muller2020_high_c1_source/masks/Muller2020_high_c1_source-LOC-0_554-559_224-448_448-672.tiff,0.09213136437101861,0.04829020336382124,0.507453762755102,"(224, 224)",21.41614255765199,20431.0,954,16.856895543983253,0.6731214378583352,4.747935085152646,2.5529678897959207,0.862953541216643,679.1,6791.0,10,108.45727265770299,0.8344134589047212,0.7158861563273982,2.1075486348823462,0.9123216068917388
Muller2020_high_c1_source,2,../../data/cem_mitolab/Muller2020_high_c1_source/images/Muller2020_high_c1_source-LOC-0_927-932_0-224_0-224.tiff,../../data/cem_mitolab/Muller2020_high_c1_source/masks/Muller2020_high_c1_source-LOC-0_927-932_0-224_0-224.tiff,0.10586632476735588,0.055891686098756437,0.5552853954081632,"(224, 224)",22.217811158798284,20707.0,932,17.610125195821812,0.7084869947196282,4.114613110611154,2.592335986876484,0.8251463582461099,1416.3333333333333,4249.0,3,179.03994701571483,0.9231337280503942,0.5725132306890072,3.1191280035610744,0.9572841199647929
Muller2020_high_c1_source,3,../../data/cem_mitolab/Muller2020_high_c1_source/images/Muller2020_high_c1_source-LOC-1_5-10_0-224_224-448.tiff,../../data/cem_mitolab/Muller2020_high_c1_source/masks/Muller2020_high_c1_source-LOC-1_5-10_0-224_224-448.tiff,0.010825439825320304,0.005442176913033921,0.5338010204081632,"(224, 224)",47.7782340862423,23268.0,487,36.68105392696589,0.7069994098245833,4.7647706536970915,2.7410219318444407,0.8504068218418129,380.0,380.0,1,78.87005768508881,0.8460548877024892,0.7676604101404323,1.8758354666587727,0.9819121447028424
Muller2020_high_c1_source,4,../../data/cem_mitolab/Muller2020_high_c1_source/images/Muller2020_high_c1_source-LOC-1_548-553_448-672_224-448.tiff,../../data/cem_mitolab/Muller2020_high_c1_source/masks/Muller2020_high_c1_source-LOC-1_548-553_448-672_224-448.tiff,0.08337982077863142,0.04350357035689602,0.5087890625,"(224, 224)",28.973936899862824,21122.0,729,21.62287824592424,0.7280712738619429,5.435563049652172,2.6497333940082264,0.8589759566130578,640.7777777777778,5767.0,9,97.28111666624008,0.8020661177111159,0.7722635671116118,1.9074749058568135,0.9487115567614991
Muller2020_high_c1_source,5,../../data/cem_mitolab/Muller2020_high_c1_source/images/Muller2020_high_c1_source-LOC-1_641-646_672-896_0-224.tiff,../../data/cem_mitolab/Muller2020_high_c1_source/masks/Muller2020_high_c1_source-LOC-1_641-646_672-896_0-224.tiff,0.004956517865770445,0.002484415981457927,0.5598891900510204,"(224, 224)",40.66233766233766,21917.0,539,30.142185025095465,0.7207245764890291,5.326480648946269,2.711501251938804,0.8488399778915974,276.0,276.0,1,60.526911934581186,0.49092554438610064,0.9467207855389665,1.1478400380774194,0.9484536082474226
Muller2020_high_c1_source,6,../../data/cem_mitolab/Muller2020_high_c1_source/images/Muller2020_high_c1_source-LOC-2_18-23_448-672_0-224.tiff,../../data/cem_mitolab/Muller2020_high_c1_source/masks/Muller2020_high_c1_source-LOC-2_18-23_448-672_0-224.tiff,0.09278011035264756,0.04864678210175479,0.5607461734693877,"(224, 224)",31.517345399698343,20896.0,663,24.364176066726618,0.7378014051995888,4.613829886635405,2.856835228337828,0.8288858270697727,1132.6666666666667,3398.0,3,151.39493740153338,0.7676291326722522,0.6495206844835993,2.3377685976582696,0.8930374457135128
Muller2020_high_c1_source,7,../../data/cem_mitolab/Muller2020_high_c1_source/images/Muller2020_high_c1_source-LOC-2_275-280_0-224_0-224.tiff,../../data/cem_mitolab/Muller2020_high_c1_source/masks/Muller2020_high_c1_source-LOC-2_275-280_0-224_0-224.tiff,0.015152190426705637,0.007633930620699899,0.5595703125,"(224, 224)",37.34991423670669,21775.0,583,27.95030096643248,0.7245400744108154,4.727191106523762,3.0197661063374026,0.8370476743643653,132.8,664.0,5,42.70782104868019,0.7894513270921808,0.8402937525824343,2.1048883420950206,0.9387444310890369
Muller2020_high_c1_source,8,../../data/cem_mitolab/Muller2020_high_c1_source/images/Muller2020_high_c1_source-LOC-2_46-51_896-1097_224-448.tiff,../../data/cem_mitolab/Muller2020_high_c1_source/masks/Muller2020_high_c1_source-LOC-2_46-51_896-1097_224-448.tiff,0.04799629376659735,0.02458821858714633,0.5435989694385217,"(201, 224)",40.371134020618555,19580.0,485,29.726089306606173,0.7360304618074177,5.514323379579392,2.632329723976538,0.8276998422147882,401.0,2005.0,5,80.24406922210656,0.77659010006858,0.7687973461688123,1.854642281918029,0.9567435016167481
Muller2020_high_c1_source,9,../../data/cem_mitolab/Muller2020_high_c1_source/images/Muller2020_high_c1_source-LOC-2_750-755_672-896_224-448.tiff,../../data/cem_mitolab/Muller2020_high_c1_source/masks/Muller2020_high_c1_source-LOC-2_750-755_672-896_224-448.tiff,0.09305017911461053,0.04879529504652646,0.5003786670918368,"(224, 224)",36.943521594684384,22240.0,602,28.113230299769164,0.6842231863401509,4.6627168413794475,2.5994180436159584,0.8636669510423981,900.1666666666666,5401.0,6,122.44722215136414,0.7461100811010235,0.7566432969865784,1.7097981089184617,0.9428925035530701
